batch,K,mask,outcome,seamless,last_boundary_wait_cycles,note
768,3,fe,ok,0,1,
769,3,7f,ok,0,1,
770,3,00,ok,0,23448,
771,3,fe,ok,0,1,
772,3,7f,ok,0,1,
773,3,00,ok,0,23440,
774,3,fe,ok,0,1,
775,3,7f,ok,0,1,
776,3,00,ok,0,23288,
777,3,fe,ok,0,1,
778,3,7f,ok,0,1,
779,3,00,ok,0,23392,
780,3,fe,ok,0,1,
781,3,7f,ok,0,1,
782,3,00,ok,0,23428,
783,3,fe,ok,0,1,
784,3,7f,ok,0,1,
785,3,00,ok,0,23502,
786,3,fe,ok,0,1,
787,3,7f,ok,0,1,
788,3,00,ok,0,23399,
789,3,fe,ok,0,1,
790,3,7f,ok,0,1,
791,3,00,ok,0,23086,
792,3,fe,ok,0,1,
793,3,7f,ok,0,1,
794,3,00,ok,0,23449,
795,3,fe,ok,0,1,
796,3,7f,ok,0,1,
797,3,00,ok,0,23440,
798,3,fe,ok,0,1,
799,3,7f,ok,0,1,
800,3,00,ok,0,23158,
801,3,fe,ok,0,1,
802,3,7f,ok,0,1,
803,3,00,ok,0,23390,
804,3,fe,ok,0,1,
805,3,7f,ok,0,1,
806,3,00,ok,0,23496,
807,3,fe,ok,0,1,
808,3,7f,ok,0,1,
809,3,00,ok,0,23437,
810,3,fe,ok,0,1,
811,3,7f,ok,0,1,
812,3,00,ok,0,23500,
813,3,fe,ok,0,1,
814,3,7f,ok,0,1,
815,3,00,ok,0,23497,
816,3,fe,ok,0,1,
817,3,7f,ok,0,1,
818,3,00,ok,0,23351,
819,3,fe,ok,0,1,
820,3,7f,ok,0,1,
821,3,00,ok,0,23449,
822,3,fe,ok,0,1,
823,3,7f,ok,0,1,
824,3,00,ok,0,23439,
825,3,fe,ok,0,1,
826,3,7f,ok,0,1,
827,3,00,ok,0,23449,
828,3,fe,ok,0,1,
829,3,7f,ok,0,1,
830,3,00,ok,0,23448,
831,3,fe,ok,0,1,
832,3,7f,ok,0,1,
833,3,00,ok,0,23499,
834,3,fe,ok,0,1,
835,3,7f,ok,0,1,
836,3,00,ok,0,23430,
837,3,fe,ok,0,1,
838,3,7f,ok,0,1,
839,3,00,ok,0,23206,
840,3,fe,ok,0,1,
841,3,7f,ok,0,1,
842,3,00,ok,0,23396,
843,3,fe,ok,0,1,
844,3,7f,ok,0,1,
845,3,00,ok,0,23180,
846,3,fe,ok,0,1,
847,3,7f,ok,0,1,
848,3,00,ok,0,23449,
849,3,fe,ok,0,1,
850,3,7f,ok,0,1,
851,3,00,ok,0,23345,
852,3,fe,ok,0,1,
853,3,7f,ok,0,1,
854,3,00,ok,0,23449,
855,3,fe,ok,0,1,
856,3,7f,ok,0,1,
857,3,00,ok,0,23100,
858,3,fe,ok,0,1,
859,3,7f,ok,0,1,
860,3,00,ok,0,23501,
861,3,fe,ok,0,1,
862,3,7f,ok,0,1,
863,3,00,ok,0,23485,
864,3,fe,ok,0,1,
865,3,7f,ok,0,1,
866,3,00,ok,0,23508,
867,3,fe,ok,0,1,
868,3,7f,ok,0,1,
869,3,00,ok,0,23164,
870,3,fe,ok,0,1,
871,3,7f,ok,0,1,
872,3,00,ok,0,23501,
873,3,fe,ok,0,1,
874,3,7f,ok,0,1,
875,3,00,ok,0,23345,
876,3,fe,ok,0,1,
877,3,7f,ok,0,1,
878,3,00,ok,0,23500,
879,3,fe,ok,0,1,
880,3,7f,ok,0,1,
881,3,00,ok,0,23362,
882,3,fe,ok,0,1,
883,3,7f,ok,0,1,
884,3,00,ok,0,23500,
885,3,fe,ok,0,1,
886,3,7f,ok,0,1,
887,3,00,ok,0,23505,
888,3,fe,ok,0,1,
889,3,7f,ok,0,1,
890,3,00,ok,0,23469,
891,3,fe,ok,0,1,
892,3,7f,ok,0,1,
893,3,00,ok,0,23491,
894,3,fe,ok,0,1,
895,3,7f,ok,0,1,
896,3,00,ok,0,23168,
897,3,fe,ok,0,1,
898,3,7f,ok,0,1,
899,3,00,ok,0,23346,
900,3,fe,ok,0,1,
901,3,7f,ok,0,1,
902,3,00,ok,0,23512,
903,3,fe,ok,0,1,
904,3,7f,ok,0,1,
905,3,00,ok,0,23496,
906,3,fe,ok,0,1,
907,3,7f,ok,0,1,
908,3,00,ok,0,23497,
909,3,fe,ok,0,1,
910,3,7f,ok,0,1,
911,3,00,ok,0,23435,
912,3,fe,ok,0,1,
913,3,7f,ok,0,1,
914,3,00,ok,0,23173,
