idx,name,n_qubits,shots,checkpoint,n,n_ref,tvd_p95,hf_p05,tvd_median,p_false_fail,evaluable
16,QAOA 2Q p=1,2,1000,7,700,100,0.12,0.979,0.073,0.0,1
16,QAOA 2Q p=1,2,1000,8,800,100,0.136,0.975,0.068,0.0,1
16,QAOA 2Q p=1,2,1000,9,900,100,0.124,0.979,0.063,0.0,1
16,QAOA 2Q p=1,2,1000,10,1000,100,0.125,0.98,0.069,0.0,1
17,Quantum teleportation 3Q,3,1024,3,306,102,0.137,0.975,0.075,0.0,1
17,Quantum teleportation 3Q,3,1024,4,408,102,0.125,0.979,0.071,0.0,1
17,Quantum teleportation 3Q,3,1024,5,510,102,0.124,0.979,0.073,0.0,1
17,Quantum teleportation 3Q,3,1024,6,612,102,0.119,0.98,0.063,0.0,1
17,Quantum teleportation 3Q,3,1024,7,714,102,0.137,0.976,0.071,0.0,1
17,Quantum teleportation 3Q,3,1024,8,816,102,0.131,0.978,0.069,0.0,1
17,Quantum teleportation 3Q,3,1024,9,918,102,0.138,0.975,0.071,0.0,1
17,Quantum teleportation 3Q,3,1024,10,1024,102,0.126,0.979,0.065,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,3,306,102,0.111,0.987,0.038,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,4,408,102,0.098,0.99,0.039,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,5,510,102,0.104,0.989,0.037,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,6,612,102,0.113,0.987,0.033,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,7,714,102,0.097,0.991,0.032,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,8,816,102,0.108,0.988,0.034,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,9,918,102,0.095,0.991,0.034,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,10,1024,102,0.098,0.99,0.035,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,3,306,102,0.108,0.988,0.036,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,4,408,102,0.12,0.985,0.042,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,5,510,102,0.094,0.991,0.033,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,6,612,102,0.095,0.991,0.038,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,7,714,102,0.102,0.99,0.036,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,8,816,102,0.123,0.985,0.039,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,9,918,102,0.095,0.991,0.032,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,10,1024,102,0.105,0.989,0.035,0.0,1
20,VQE 1Q eigensolver,1,10000,3,3000,1000,0.033,0.999,0.012,0.0,1
20,VQE 1Q eigensolver,1,10000,4,4000,1000,0.037,0.999,0.011,0.0,1
20,VQE 1Q eigensolver,1,10000,5,5000,1000,0.036,0.999,0.011,0.0,1
20,VQE 1Q eigensolver,1,10000,6,6000,1000,0.032,0.999,0.013,0.0,1
20,VQE 1Q eigensolver,1,10000,7,7000,1000,0.026,0.999,0.011,0.0,1
20,VQE 1Q eigensolver,1,10000,8,8000,1000,0.033,0.999,0.01,0.0,1
20,VQE 1Q eigensolver,1,10000,9,9000,1000,0.034,0.999,0.01,0.0,1
20,VQE 1Q eigensolver,1,10000,10,10000,1000,0.031,0.999,0.01,0.0,1
21,QAOA MaxCut 12Q,12,10000,3,3000,1000,0.677,0.209,0.659,1.0,0
21,QAOA MaxCut 12Q,12,10000,4,4000,1000,0.667,0.236,0.652,1.0,0
21,QAOA MaxCut 12Q,12,10000,5,5000,1000,0.663,0.25,0.651,1.0,0
21,QAOA MaxCut 12Q,12,10000,6,6000,1000,0.66,0.264,0.646,1.0,0
21,QAOA MaxCut 12Q,12,10000,7,7000,1000,0.66,0.271,0.645,1.0,0
21,QAOA MaxCut 12Q,12,10000,8,8000,1000,0.656,0.278,0.644,1.0,0
