wall_time,bitfile,software_commit,idx,name,per_shot_compiled_us,repeat,shots,elapsed_ms
2026-09-24T00:19:24,build_0071783e_20260829023649,7de69de,9,GHZ-6,21.1040,0,100,5.524125
2026-09-24T00:19:25,build_0071783e_20260829023649,7de69de,9,GHZ-6,21.1040,0,50100,1067.889790
2026-09-24T00:19:25,build_0071783e_20260829023649,7de69de,9,GHZ-6,21.1040,1,100,5.512085
2026-09-24T00:19:27,build_0071783e_20260829023649,7de69de,9,GHZ-6,21.1040,1,50100,1068.225904
2026-09-24T00:19:27,build_0071783e_20260829023649,7de69de,9,GHZ-6,21.1040,2,100,5.522095
2026-09-24T00:19:28,build_0071783e_20260829023649,7de69de,9,GHZ-6,21.1040,2,50100,1067.967491
2026-09-24T00:19:28,build_0071783e_20260829023649,7de69de,10,GHZ-8,27.3640,-1,100,5.552206
2026-09-24T00:19:28,build_0071783e_20260829023649,7de69de,10,GHZ-8,27.3640,0,100,5.555365
2026-09-24T00:19:30,build_0071783e_20260829023649,7de69de,10,GHZ-8,27.3640,0,50100,1381.528198
2026-09-24T00:19:30,build_0071783e_20260829023649,7de69de,10,GHZ-8,27.3640,1,100,5.563046
2026-09-24T00:19:31,build_0071783e_20260829023649,7de69de,10,GHZ-8,27.3640,1,50100,1381.542868
2026-09-24T00:19:31,build_0071783e_20260829023649,7de69de,10,GHZ-8,27.3640,2,100,5.583335
2026-09-24T00:19:33,build_0071783e_20260829023649,7de69de,10,GHZ-8,27.3640,2,50100,1381.527068
2026-09-24T00:19:33,build_0071783e_20260829023649,7de69de,11,Bernstein-Vazirani 5Q,18.9220,-1,100,4.469495
2026-09-24T00:19:33,build_0071783e_20260829023649,7de69de,11,Bernstein-Vazirani 5Q,18.9220,0,100,4.466155
2026-09-24T00:19:34,build_0071783e_20260829023649,7de69de,11,Bernstein-Vazirani 5Q,18.9220,0,50100,958.926281
2026-09-24T00:19:34,build_0071783e_20260829023649,7de69de,11,Bernstein-Vazirani 5Q,18.9220,1,100,4.466304
2026-09-24T00:19:35,build_0071783e_20260829023649,7de69de,11,Bernstein-Vazirani 5Q,18.9220,1,50100,958.846610
2026-09-24T00:19:35,build_0071783e_20260829023649,7de69de,11,Bernstein-Vazirani 5Q,18.9220,2,100,4.474654
2026-09-24T00:19:36,build_0071783e_20260829023649,7de69de,11,Bernstein-Vazirani 5Q,18.9220,2,50100,958.861200
2026-09-24T00:19:36,build_0071783e_20260829023649,7de69de,12,VQE 1Q eigensolver,5.4300,-1,100,3.297873
2026-09-24T00:19:36,build_0071783e_20260829023649,7de69de,12,VQE 1Q eigensolver,5.4300,0,100,3.276203
2026-09-24T00:19:36,build_0071783e_20260829023649,7de69de,12,VQE 1Q eigensolver,5.4300,0,50100,282.964900
2026-09-24T00:19:37,build_0071783e_20260829023649,7de69de,12,VQE 1Q eigensolver,5.4300,1,100,3.294973
2026-09-24T00:19:37,build_0071783e_20260829023649,7de69de,12,VQE 1Q eigensolver,5.4300,1,50100,282.923990
2026-09-24T00:19:37,build_0071783e_20260829023649,7de69de,12,VQE 1Q eigensolver,5.4300,2,100,3.277103
2026-09-24T00:19:37,build_0071783e_20260829023649,7de69de,12,VQE 1Q eigensolver,5.4300,2,50100,282.909210
2026-09-24T00:19:37,build_0071783e_20260829023649,7de69de,13,QFT 4Q,26.4720,-1,100,5.726558
2026-09-24T00:19:38,build_0071783e_20260829023649,7de69de,13,QFT 4Q,26.4720,0,100,5.699297
2026-09-24T00:19:39,build_0071783e_20260829023649,7de69de,13,QFT 4Q,26.4720,0,50100,1337.243494
2026-09-24T00:19:39,build_0071783e_20260829023649,7de69de,13,QFT 4Q,26.4720,1,100,5.718308
2026-09-24T00:19:40,build_0071783e_20260829023649,7de69de,13,QFT 4Q,26.4720,1,50100,1337.239675
2026-09-24T00:19:40,build_0071783e_20260829023649,7de69de,13,QFT 4Q,26.4720,2,100,5.687907
2026-09-24T00:19:42,build_0071783e_20260829023649,7de69de,13,QFT 4Q,26.4720,2,50100,1337.613798
2026-09-24T00:19:42,build_0071783e_20260829023649,7de69de,19,VQE BeH2 14Q,46.4160,-1,100,7.924409
2026-09-24T00:19:42,build_0071783e_20260829023649,7de69de,19,VQE BeH2 14Q,46.4160,0,100,7.901429
2026-09-24T00:19:45,build_0071783e_20260829023649,7de69de,19,VQE BeH2 14Q,46.4160,0,50100,2336.178425
2026-09-24T00:19:45,build_0071783e_20260829023649,7de69de,19,VQE BeH2 14Q,46.4160,1,100,7.924999
2026-09-24T00:19:47,build_0071783e_20260829023649,7de69de,19,VQE BeH2 14Q,46.4160,1,50100,2336.228376
2026-09-24T00:19:47,build_0071783e_20260829023649,7de69de,19,VQE BeH2 14Q,46.4160,2,100,7.923799
2026-09-24T00:19:50,build_0071783e_20260829023649,7de69de,19,VQE BeH2 14Q,46.4160,2,50100,2336.241446
2026-09-24T00:19:50,build_0071783e_20260829023649,7de69de,20,Shor N=15 5Q,17.6580,-1,100,4.425914
2026-09-24T00:19:50,build_0071783e_20260829023649,7de69de,20,Shor N=15 5Q,17.6580,0,100,4.402794
