mode,workload,workload_id,population,sur_n,sur_mean_ms,sur_sd_ms,sur_qpu_ms,real_n,real_mean_ms,real_sd_ms,real_qpu_ms,n_groups,diff_ms,ci95_lo_ms,ci95_hi_ms,welch_df,margin_ms,verdict
c1,single,21,equivalence,5,436.7046,0.0581,432.4000,5,437.0980,0.0171,432.4000,1,0.3934,0.3238,0.4631,4.7,4.3240,EQUIVALENT
c1,single,22,equivalence,5,22.5822,0.0714,20.0480,5,22.8918,0.0851,20.0496,1,0.3096,0.1951,0.4242,7.8,0.2005,INCONCLUSIVE
c1,single,23,equivalence,5,174.5447,0.0683,171.4000,5,174.8369,0.0215,171.4080,1,0.2922,0.2099,0.3745,4.8,1.7141,EQUIVALENT
c1,single,24,equivalence,5,63.4287,0.0398,60.9075,5,64.4362,0.0184,60.9034,1,1.0075,0.9595,1.0555,5.6,0.6090,NON-MATCHING
c1,single,25,equivalence,5,20.1104,0.0826,17.5309,5,20.0875,0.0049,17.5309,1,-0.0228,-0.1256,0.0799,4.0,0.1753,EQUIVALENT
c1,batch,ghz8_x30,equivalence,5,100.4262,0.2942,26.2656,5,102.8703,0.0368,26.2694,1,2.4441,2.0761,2.8122,4.1,0.2627,NON-MATCHING
c1,batch,qaoa12_x30,equivalence,5,13140.9062,3.1046,12972.0000,5,13179.0658,1.2589,12972.0000,1,38.1596,34.3076,42.0115,5.3,129.7200,EQUIVALENT
c1,batch,rand10_t0,descriptive,5,978.7479,0.3001,939.6340,5,1057.5575,0.5398,939.8526,1,78.8096,78.1338,79.4855,6.3,9.3985,
c1,batch,rand10_t1,descriptive,5,623.7305,0.2160,585.9953,5,677.1196,0.6227,586.1906,1,53.3891,52.6313,54.1470,4.9,5.8619,
c1,batch,rand10_t2,descriptive,5,742.1186,1.4323,704.9334,5,822.7266,6.1768,705.0523,1,80.6080,72.7362,88.4797,4.4,7.0505,
c1,batch,rand10_t3,descriptive,5,440.3449,0.9165,406.2972,5,519.1084,1.9153,406.3136,1,78.7635,76.4399,81.0871,5.7,4.0631,
c1,batch,rand10_t4,descriptive,5,479.9564,1.2869,444.1056,5,514.0063,0.0315,444.2518,1,34.0500,32.4519,35.6481,4.0,4.4425,
c1,batch,rand10_t5,descriptive,5,215.6407,0.8875,186.5695,5,261.1709,1.0552,186.5717,1,45.5302,44.1082,46.9521,7.8,1.8657,
c1,batch,rand10_t6,descriptive,5,1132.1795,2.9478,1086.9310,5,1215.5377,1.2087,1087.0463,1,83.3582,79.6950,87.0214,5.3,10.8705,
c1,batch,rand10_t7,descriptive,5,696.9876,0.3191,665.5469,5,787.4848,0.6905,665.5613,1,90.4972,89.6648,91.3296,5.6,6.6556,
c1,batch,rand10_t8,descriptive,5,706.4385,0.3875,668.9461,5,759.0591,0.4990,669.0893,1,52.6206,51.9690,53.2721,7.5,6.6909,
c1,batch,rand10_t9,descriptive,5,857.4970,1.1603,822.8212,5,937.7012,0.4096,822.8857,1,80.2042,78.7894,81.6191,5.0,8.2289,
c1,batch,rand20_t0,descriptive,5,1075.5857,0.8544,1011.1746,5,1214.8892,7.5905,1011.2963,1,139.3035,129.8207,148.7864,4.1,10.1130,
c1,batch,rand20_t1,descriptive,5,3328.7523,1.2537,3240.8544,5,3529.6626,27.1926,3241.2445,1,200.9103,167.1158,234.7048,4.0,32.4124,
c1,batch,rand20_t2,descriptive,5,765.4717,1.5149,700.8332,5,871.8709,3.1460,700.9111,1,106.3991,102.5780,110.2203,5.8,7.0091,
c1,batch,rand20_t3,descriptive,5,1455.4427,1.6954,1385.0320,5,1607.9979,13.5992,1385.1216,1,152.5552,135.5416,169.5688,4.1,13.8512,
c1,batch,rand20_t4,descriptive,5,1162.3192,2.6580,1095.4322,5,1313.0910,8.9391,1095.5217,1,150.7718,140.0490,161.4945,4.7,10.9552,
c1,batch,rand20_t5,descriptive,5,894.6576,0.4628,834.0002,5,1015.7613,0.5733,834.0339,1,121.1037,120.3438,121.8635,7.7,8.3403,
c1,batch,rand20_t6,descriptive,5,1199.7640,1.1236,1127.8979,5,1307.6600,11.8807,1127.9741,1,107.8959,93.0807,122.7112,4.1,11.2797,
c1,batch,rand20_t7,descriptive,5,1342.9803,2.2680,1274.3496,5,1470.6745,5.2940,1274.4202,1,127.6943,121.0722,134.3163,5.4,12.7442,
c1,batch,rand20_t8,descriptive,5,1377.0538,2.1972,1305.8993,5,1532.6406,1.7726,1306.0361,1,155.5868,152.6754,158.4982,7.7,13.0604,
c1,batch,rand20_t9,descriptive,5,1544.1068,0.4053,1472.2518,5,1686.8434,1.2143,1472.5207,1,142.7366,141.2646,144.2085,4.9,14.7252,
c1,batch,rand30_t0,descriptive,5,3145.9774,2.0623,3027.1680,5,3415.8931,19.4270,3027.4219,1,269.9156,245.6622,294.1690,4.1,30.2742,
c1,batch,rand30_t1,descriptive,5,2351.4562,2.6009,2245.6027,5,2562.2935,0.5206,2245.8436,1,210.8373,207.5443,214.1303,4.3,22.4584,
c1,batch,rand30_t2,descriptive,5,2032.6403,2.9781,1925.4158,5,2240.2161,14.4554,1925.6799,1,207.5758,189.2531,225.8986,4.3,19.2568,
c1,batch,rand30_t3,descriptive,5,2577.6058,3.3978,2464.9788,5,2798.5453,6.2622,2465.2663,1,220.9395,213.1427,228.7362,6.2,24.6527,
c1,batch,rand30_t4,descriptive,5,2378.7853,4.1965,2271.0409,5,2618.1374,0.4549,2271.1510,1,239.3521,234.1117,244.5925,4.1,22.7115,
c1,batch,rand30_t5,descriptive,5,2374.5032,3.1203,2272.6140,5,2595.2707,19.7108,2272.7094,1,220.7675,195.9924,245.5425,4.2,22.7271,
c1,batch,rand30_t6,descriptive,5,2307.4226,2.6241,2193.4908,5,2484.7159,19.2260,2193.9864,1,177.2933,153.2036,201.3829,4.1,21.9399,
c1,batch,rand30_t7,descriptive,5,4165.2387,3.2674,4041.6025,5,4441.9824,35.4649,4041.8606,1,276.7437,232.5288,320.9587,4.1,40.4186,
c1,batch,rand30_t8,descriptive,5,2606.4125,5.3035,2491.8088,5,2865.9647,26.7621,2492.0956,1,259.5522,225.6818,293.4225,4.3,24.9210,
c1,batch,rand30_t9,descriptive,5,2185.2388,2.2262,2079.5475,5,2406.0877,18.7619,2079.8393,1,220.8489,197.3932,244.3046,4.1,20.7984,
c3,single,1,equivalence,5,214.9765,0.0055,210.8621,5,214.8798,0.0060,210.9604,1,-0.0967,-0.1051,-0.0883,8.0,2.1096,EQUIVALENT
c3,single,2,equivalence,5,97.3510,0.0041,95.9283,5,97.4170,0.2107,95.9611,1,0.0660,-0.1957,0.3276,4.0,0.9596,EQUIVALENT
c3,single,3,equivalence,5,35.1509,0.2056,34.3200,5,35.0442,0.0037,34.3360,1,-0.1068,-0.3621,0.1486,4.0,0.3434,INCONCLUSIVE
c3,single,4,equivalence,5,9.1893,0.0032,8.9400,5,9.1996,0.0270,8.9400,1,0.0104,-0.0234,0.0441,4.1,0.1500,EQUIVALENT
c3,single,5,equivalence,5,14.7485,0.0021,14.5000,5,14.7336,0.0067,14.4960,1,-0.0149,-0.0230,-0.0068,4.8,0.1500,EQUIVALENT
c3,single,6,equivalence,5,12.5961,0.0028,12.3494,5,12.5933,0.0043,12.3515,1,-0.0028,-0.0082,0.0027,6.8,0.1500,EQUIVALENT
c3,single,7,equivalence,5,123.0005,0.0083,121.5693,5,122.9611,0.0056,121.6020,1,-0.0394,-0.0500,-0.0288,7.0,1.2160,EQUIVALENT
c3,single,8,equivalence,5,18.6506,0.0048,18.4013,5,18.6475,0.0042,18.4054,1,-0.0030,-0.0096,0.0035,7.8,0.1841,EQUIVALENT
c3,single,9,equivalence,5,2.8054,0.0075,2.7008,5,2.8005,0.0025,2.7013,1,-0.0050,-0.0141,0.0041,4.9,0.1500,EQUIVALENT
c3,single,10,equivalence,5,0.9814,0.0070,0.8755,5,0.9850,0.0070,0.8756,1,0.0036,-0.0067,0.0138,8.0,0.1500,EQUIVALENT
c3,single,11,equivalence,5,19.6759,0.1173,19.3741,5,19.6134,0.0029,19.3761,1,-0.0626,-0.2082,0.0830,4.0,0.1938,INCONCLUSIVE
c3,single,12,equivalence,5,56.0180,0.0006,54.3000,5,56.0279,0.2000,54.3000,1,0.0099,-0.2384,0.2582,4.0,0.5430,EQUIVALENT
c3,single,13,equivalence,5,13.3940,0.0035,13.2350,5,13.3926,0.0116,13.2360,1,-0.0015,-0.0154,0.0125,4.7,0.1500,EQUIVALENT
c3,single,19,equivalence,5,190.9734,0.0041,190.1363,5,190.9202,0.0070,190.1199,1,-0.0532,-0.0620,-0.0443,6.5,1.9012,EQUIVALENT
c3,single,20,equivalence,5,17.9804,0.0148,17.6600,5,17.8944,0.0048,17.6580,1,-0.0860,-0.1039,-0.0682,4.8,0.1766,EQUIVALENT
c3,single,21,equivalence,5,434.2053,0.0530,432.4000,5,434.1191,0.0357,432.4000,1,-0.0862,-0.1538,-0.0186,7.0,4.3240,EQUIVALENT
c3,single,22,equivalence,5,20.3283,0.1233,20.0480,5,20.2745,0.0030,20.0496,1,-0.0538,-0.2069,0.0993,4.0,0.2005,INCONCLUSIVE
c3,single,23,equivalence,5,172.2024,0.0025,171.4000,5,172.1784,0.0077,171.4080,1,-0.0240,-0.0333,-0.0147,4.8,1.7141,EQUIVALENT
c3,single,24,equivalence,5,61.1592,0.0030,60.9075,5,61.1448,0.0044,60.9034,1,-0.0145,-0.0201,-0.0089,7.0,0.6090,EQUIVALENT
c3,single,25,equivalence,5,17.8426,0.1318,17.5309,5,17.7722,0.0055,17.5309,1,-0.0704,-0.2342,0.0933,4.0,0.1753,INCONCLUSIVE
c3,batch,ghz8_x30,equivalence,5,26.7012,0.0097,26.2656,5,26.6948,0.0065,26.2694,1,-0.0064,-0.0188,0.0059,7.0,0.2627,EQUIVALENT
c3,batch,qaoa12_x30,equivalence,5,13021.7233,0.0070,12972.0000,5,13019.3253,0.0129,12972.0000,1,-2.3980,-2.4140,-2.3820,6.2,129.7200,EQUIVALENT
c3,batch,rand10_t0,descriptive,5,951.3002,0.0890,939.6340,5,2787.0780,178.6707,939.8526,9,1835.7778,1613.9643,2057.5913,4.0,9.3985,
c3,batch,rand10_t1,descriptive,5,596.9443,0.0041,585.9953,5,2174.8234,85.5788,586.1906,9,1577.8790,1471.6360,1684.1221,4.0,5.8619,
c3,batch,rand10_t2,descriptive,5,711.9327,0.0131,704.9334,5,2152.8763,46.1750,705.0523,8,1440.9436,1383.6189,1498.2683,4.0,7.0505,
c3,batch,rand10_t3,descriptive,5,411.4625,0.0154,406.2972,5,2389.3516,76.7028,406.3136,10,1977.8891,1882.6653,2073.1130,4.0,4.0631,
c3,batch,rand10_t4,descriptive,5,451.5419,0.0486,444.1056,5,1703.3993,65.4764,444.2518,9,1251.8574,1170.5707,1333.1441,4.0,4.4425,
c3,batch,rand10_t5,descriptive,5,188.3344,0.0066,186.5695,5,1462.9302,177.0734,186.5717,9,1274.5958,1054.7655,1494.4262,4.0,1.8657,
c3,batch,rand10_t6,descriptive,5,1097.2378,0.0055,1086.9310,5,2846.4923,109.1262,1087.0463,9,1749.2545,1613.7781,1884.7309,4.0,10.8705,
c3,batch,rand10_t7,descriptive,5,669.5596,0.0086,665.5469,5,2934.3946,51.7430,665.5613,10,2264.8350,2200.5978,2329.0722,4.0,6.6556,
c3,batch,rand10_t8,descriptive,5,679.4406,0.0053,668.9461,5,2218.9825,37.8292,669.0893,10,1539.5419,1492.5783,1586.5056,4.0,6.6909,
c3,batch,rand10_t9,descriptive,5,828.2484,0.0197,822.8212,5,3025.6773,78.7872,822.8857,10,2197.4288,2099.6173,2295.2404,4.0,8.2289,
c3,batch,rand20_t0,descriptive,5,1020.1700,0.0507,1011.1746,5,5132.5088,82.5802,1011.2963,19,4112.3388,4009.8184,4214.8591,4.0,10.1130,
c3,batch,rand20_t1,descriptive,5,3265.3142,0.0149,3240.8544,5,7714.9209,67.8937,3241.2445,19,4449.6068,4365.3191,4533.8945,4.0,32.4124,
c3,batch,rand20_t2,descriptive,5,708.8078,0.1013,700.8332,5,3786.3123,40.9913,700.9111,18,3077.5045,3026.6151,3128.3940,4.0,7.0091,
c3,batch,rand20_t3,descriptive,5,1395.7926,0.0084,1385.0320,5,5636.2835,243.9646,1385.1216,19,4240.4909,3937.6174,4543.3644,4.0,13.8512,
c3,batch,rand20_t4,descriptive,5,1104.9046,0.0073,1095.4322,5,5471.5962,145.9862,1095.5217,19,4366.6916,4185.4548,4547.9284,4.0,10.9552,
c3,batch,rand20_t5,descriptive,5,841.1461,0.1382,834.0002,5,4594.0649,158.2095,834.0339,19,3752.9188,3556.5072,3949.3304,4.0,8.3403,
c3,batch,rand20_t6,descriptive,5,1141.6319,0.0039,1127.8979,5,4255.1169,121.6726,1127.9741,20,3113.4850,2962.4327,3264.5373,4.0,11.2797,
c3,batch,rand20_t7,descriptive,5,1284.6331,0.0106,1274.3496,5,4740.6495,212.0612,1274.4202,17,3456.0164,3192.7498,3719.2830,4.0,12.7442,
c3,batch,rand20_t8,descriptive,5,1318.1004,0.0708,1305.8993,5,4971.5470,81.2940,1306.0361,17,3653.4467,3552.5230,3754.3704,4.0,13.0604,
c3,batch,rand20_t9,descriptive,5,1488.6508,0.0063,1472.2518,5,5458.2940,248.1500,1472.5207,19,3969.6432,3661.5737,4277.7128,4.0,14.7252,
c3,batch,rand30_t0,descriptive,5,3047.5025,0.0052,3027.1680,5,10165.1291,134.2193,3027.4219,27,7117.6265,6950.9979,7284.2551,4.0,30.2742,
c3,batch,rand30_t1,descriptive,5,2262.5165,0.0100,2245.6027,5,8076.3201,160.6233,2245.8436,28,5813.8036,5614.3954,6013.2119,4.0,22.4584,
c3,batch,rand30_t2,descriptive,5,1944.4674,0.0072,1925.4158,5,7214.5397,77.5179,1925.6799,24,5270.0723,5173.8366,5366.3080,4.0,19.2568,
c3,batch,rand30_t3,descriptive,5,2486.9605,0.0037,2464.9788,5,8797.7017,54.6626,2465.2663,27,6310.7411,6242.8794,6378.6028,4.0,24.6527,
c3,batch,rand30_t4,descriptive,5,2287.6691,0.9581,2271.0409,5,9039.7980,125.1349,2271.1510,28,6752.1289,6596.7738,6907.4841,4.0,22.7115,
c3,batch,rand30_t5,descriptive,5,2287.6106,0.0142,2272.6140,5,8915.0303,160.5226,2272.7094,27,6627.4197,6428.1365,6826.7028,4.0,22.7271,
c3,batch,rand30_t6,descriptive,5,2220.8318,0.5170,2193.4908,5,8677.6089,591.2785,2193.9864,29,6456.7771,5722.7254,7190.8288,4.0,21.9399,
c3,batch,rand30_t7,descriptive,5,4069.9470,0.1626,4041.6025,5,11276.5233,115.3822,4041.8606,26,7206.5762,7063.3331,7349.8193,4.0,40.4186,
c3,batch,rand30_t8,descriptive,5,2511.3176,0.0056,2491.8088,5,9198.1097,427.7188,2492.0956,27,6686.7921,6155.7943,7217.7900,4.0,24.9210,
c3,batch,rand30_t9,descriptive,5,2097.4265,0.0122,2079.5475,5,9924.3110,504.2580,2079.8393,30,7826.8845,7200.8660,8452.9031,4.0,20.7984,
